window,start_candle,end_candle,net_profit,win_rate,sharpe,max_dd,trades
0,0,500,-645.6241322514397,0.0,-307.4701485923255,0.6456241322514398,2
1,100,600,-374.2909764071519,0.0,-19.502268123604846,0.3742909764071519,2
2,200,700,-683.223637942865,0.0,-746.8715271587628,0.683223637942865,2
3,300,800,-339.47866841715586,0.0,0.0,0.33947866841715585,1
4,400,900,-319.20992814714555,0.0,-18.06948813715495,0.31920992814714555,2
5,500,1000,-584.2115403142961,0.0,-1411.8899747455057,0.5842115403142961,2
6,600,1100,-265.7138774621417,50.0,-12.631615080788382,0.2997197817151443,2
7,700,1200,-410.3552235371317,0.0,-34.41401344828527,0.4103552235371317,2
8,800,1300,-184.43690074999176,50.0,-7.224733767829022,0.2948449502500007,2
9,900,1400,-156.8939838414226,50.0,-6.59398542380216,0.26730203334143154,2
10,1000,1500,-265.62547034000454,50.0,-8.668407233670933,0.37603351984001343,2
11,1100,1600,-605.7715737585677,0.0,-127.44063283719419,0.6057715737585676,2
12,1200,1700,-376.4418475485727,0.0,-19.606573199298094,0.3764418475485727,2
13,1300,1800,-619.4327070842992,0.0,-159.1229759713184,0.6194327070842992,2
14,1400,1900,-586.5662348685582,0.0,-98.36457938542353,0.5865662348685583,2
15,1500,2000,-603.0053327342757,0.0,-246.89119825379305,0.6030053327342757,2
16,1600,2100,-593.8930970299843,0.0,-196.88739897666858,0.5938930970299844,2
17,1700,2200,-630.656366509982,0.0,-900.2411475325015,0.630656366509982,2
18,1800,2300,-282.9387805378501,50.0,-14.48678755102847,0.2964904355328617,2
19,1900,2400,-275.0209002449992,50.0,-14.450419054348162,0.28857255524001085,2
20,2000,2500,-39.456650024992996,50.0,-9.410385779403116,0.05300830502000463,2
21,2100,2600,-259.8980185249966,50.0,-14.375379935976545,0.2734496735200082,2
22,2200,2700,-287.6109306649887,0.0,-24.376482435945448,0.28761093066498866,2
23,2300,2800,-306.77890638497774,0.0,-23.58717496158596,0.30677890638497773,2
24,2400,2900,-339.9595411649934,0.0,-22.519308792824784,0.33995954116499344,2
25,2500,3000,-440.69987403250707,0.0,-20.546575563937587,0.4406998740325071,2
26,2600,3100,-617.588273751433,0.0,-232.79423527606116,0.617588273751433,2
27,2700,3200,-305.057669667498,50.0,-13.654908407073998,0.32976940447533265,2
28,2800,3300,-606.7386803171539,0.0,-181.8544927642284,0.6067386803171539,2
29,2900,3400,-479.8914860799996,0.0,-42.36697261151598,0.4798914860799996,2
30,3000,3500,-278.4114247999969,50.0,-13.65452430169828,0.3009756876362572,2
31,3100,3600,-292.34354080000776,50.0,-12.456276854172087,0.3324557576799998,2
32,3200,3700,47.104990070016356,50.0,4.061246142840012,0.0685089694899798,2
33,3300,3800,-380.43186903999595,0.0,-29.9589394479237,0.38043186903999593,2
34,3400,3900,-359.42835100000957,0.0,-17.125323950295943,0.3594283510000096,2
35,3500,4000,-398.83719403999567,0.0,-21.552247919584527,0.3988371940399957,2
36,3600,4100,-595.1214267999894,0.0,-96.91187209091753,0.5951214267999894,2
37,3700,4200,188.37358442001278,50.0,14.208144045008408,0.011046443679995719,2
38,3800,4300,261.0103041000111,50.0,14.95429860052993,0.008030603999999584,2
39,3900,4400,285.82077594002476,100.0,17.986384862920453,0.0,2
40,4000,4500,-32.685013749985956,50.0,-0.9090551178887663,0.3017259218499967,2
41,4100,4600,-197.3938649014308,50.0,-7.059504475739726,0.32023926734849845,2
42,4200,4700,-691.1479419314273,0.0,-219.9602167034433,0.6911479419314274,2
43,4300,4800,-335.7959533914254,0.0,-17.45036244981667,0.33579595339142543,2
44,4400,4900,-320.6339304314315,0.0,0.0,0.3206339304314315,1
45,4500,5000,-227.90015549000236,50.0,-10.865978583324226,0.28042393848999925,2
46,4600,5100,-204.89079150999896,50.0,-10.494152797692635,0.2574145745099959,2
47,4700,5200,17.111408929995378,50.0,3.0890046223867604,0.035412374070001536,2
48,4800,5300,-325.31998626001587,50.0,-11.99973058809396,0.37764541560141285,2
49,4900,5400,-667.6240896600211,0.0,-120.34736318295859,0.6676240896600212,2
50,5000,5500,-356.16731872000673,50.0,-12.223366586319512,0.4091435841908324,2
51,5100,5600,-464.34794500998396,0.0,-20.80086196547419,0.46434794500998394,2
52,5200,5700,-755.4812229257222,0.0,-281.5211937090019,0.7554812229257223,2
53,5300,5800,-704.5440283200005,0.0,-119.57009873439299,0.7045440283200005,2
54,5400,5900,-718.0292214600049,0.0,-142.38638528900202,0.7180292214600049,2
55,5500,6000,-676.9372010614316,0.0,-88.70447318925386,0.6769372010614316,2
56,5600,6100,-324.4481556399842,50.0,-11.901725838233475,0.37839346038329363,2
57,5700,6200,-315.05559203749,50.0,-11.311665281163947,0.3783579421061563,2
58,5800,6300,-273.94588701998873,50.0,-8.998962484325343,0.3782025628804503,2
59,5900,6400,-378.5983612199925,0.0,0.0,0.3785983612199925,1
60,6000,6500,-673.1245804614155,0.0,-780.3209182077052,0.6731245804614154,2
61,6100,6600,-253.85141874141118,50.0,-9.307330912066364,0.3431018921045676,2
62,6200,6700,-308.1238495214202,50.0,-12.916254892046112,0.34328803615994513,2
63,6300,6800,-466.6413903314242,0.0,-33.64431505147829,0.4666413903314242,2
64,6400,6900,-283.79935122570896,50.0,-12.722075751781686,0.31896099490570484,2
65,6500,7000,104.49811706999026,100.0,48.54029107174162,0.0,2
66,6600,7100,-295.5736517457117,50.0,-12.823518751488173,0.3307352954257076,2
67,6700,7200,-258.7141891271458,50.0,-8.735781242781526,0.36442252925715,2
68,6800,7300,134.81694465999317,100.0,27.93942605367192,0.0,2
69,6900,7400,266.8552504500112,100.0,76.41242834974854,0.0,2
70,7000,7500,-210.0632467700052,50.0,-7.91176625370311,0.31577158690000945,2
